,municipality,has360,priceByArea,parkingSpace,propertyCode,hasLift,operation,country,distance,exterior,longitude,rooms,hasStaging,address,district,has3DTour,bathrooms,externalReference,topNewDevelopment,price,neighborhood,hasVideo,detailedType,numPhotos,thumbnail,size,url,newDevelopmentFinished,newDevelopment,latitude,propertyType,floor,status,suggestedTexts,showAddress,province,hasPlan,di_re,di
20,Barcelona,False,4859.0,,88036349,False,sale,es,859,False,2.1289823,6,False,barrio Les Tres Torres,Sarrià-Sant Gervasi,False,3,W-02AAZ4,False,899000.0,Les Tres Torres,False,"Row(subTypology=None, typology='flat')",29,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8d/bc/9e/755970610.jpg,185.0,https://www.idealista.com/inmueble/88036349/,,False,41.4033289,flat,1,good,"Row(subtitle='Les Tres Torres, Barcelona', title='Piso')",False,Barcelona,True,,
21,Barcelona,False,7038.0,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True)",86370052,False,sale,es,198,True,2.1287565,3,False,Calle de Castellnou,Sarrià-Sant Gervasi,False,2,6805,False,739000.0,Les Tres Torres,True,"Row(subTypology=None, typology='flat')",32,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fa/a3/41/754619008.jpg,105.0,https://www.idealista.com/inmueble/86370052/,,False,41.3953605,flat,,good,"Row(subtitle='Les Tres Torres, Barcelona', title='Piso en Calle de Castellnou')",False,Barcelona,True,,
22,Barcelona,False,5351.0,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True)",84485092,True,sale,es,551,True,2.1295305,3,False,Calle de Calatrava,Sarrià-Sant Gervasi,False,2,5702,False,990000.0,Les Tres Torres,True,"Row(subTypology=None, typology='flat')",29,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/05/3c/54/754624274.jpg,185.0,https://www.idealista.com/inmueble/84485092/,,False,41.4002267,flat,3,good,"Row(subtitle='Les Tres Torres, Barcelona', title='Piso en Calle de Calatrava')",False,Barcelona,True,,
23,Barcelona,False,7324.0,,93086874,,sale,es,655,False,2.1341217,5,False,Angel Guimerá,Sarrià-Sant Gervasi,False,5,C.A.G.,False,2490000.0,Les Tres Torres,True,"Row(subTypology='independantHouse', typology='chalet')",39,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/be/dd/07/854169056.jpg,340.0,https://www.idealista.com/inmueble/93086874/,,False,41.3971669,chalet,,good,"Row(subtitle='Les Tres Torres, Barcelona', title='Casa independiente en Angel Guimerá')",False,Barcelona,True,,
24,Barcelona,False,5864.0,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True)",91631473,True,sale,es,400,True,2.1311527,4,False,barrio Les Tres Torres,Sarrià-Sant Gervasi,False,3,BCN25766,False,950000.0,Les Tres Torres,False,"Row(subTypology=None, typology='flat')",20,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ab/2a/9e/819490881.jpg,162.0,https://www.idealista.com/inmueble/91631473/,,False,41.3950864,flat,,renew,"Row(subtitle='Les Tres Torres, Barcelona', title='Piso')",False,Barcelona,True,,
25,Barcelona,False,3565.0,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True)",91299611,True,sale,es,696,True,2.120838,5,False,Calle de Sol i Padrís,Sarrià-Sant Gervasi,True,3,PRI-SOLIPADRIS001,False,1180000.0,Sarrià,True,"Row(subTypology=None, typology='flat')",54,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c7/a9/28/847039686.jpg,331.0,https://www.idealista.com/inmueble/91299611/,,False,41.4004686,flat,1,good,"Row(subtitle='Sarrià, Barcelona', title='Piso en Calle de Sol i Padrís')",False,Barcelona,True,,
26,Barcelona,False,5108.0,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True)",92682023,True,sale,es,265,True,2.125009,5,False,Calle de Pau Alcover,Sarrià-Sant Gervasi,False,3,FG02-43,False,848000.0,Les Tres Torres,False,"Row(subTypology=None, typology='flat')",20,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a1/2d/b0/845572287.jpg,166.0,https://www.idealista.com/inmueble/92682023/,,False,41.3979638,flat,4,good,"Row(subtitle='Les Tres Torres, Barcelona', title='Piso en Calle de Pau Alcover')",False,Barcelona,True,,
27,Barcelona,False,4484.0,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True)",92811766,True,sale,es,442,True,2.131756,5,False,barrio Les Tres Torres,Sarrià-Sant Gervasi,False,4,619v,False,1260000.0,Les Tres Torres,True,"Row(subTypology=None, typology='flat')",33,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/32/be/a5/848698746.jpg,281.0,https://www.idealista.com/inmueble/92811766/,,False,41.3960258,flat,1,good,"Row(subtitle='Les Tres Torres, Barcelona', title='Piso')",False,Barcelona,True,,
28,Barcelona,False,9631.0,,92647696,True,sale,es,834,True,2.1307946,3,False,barrio Les Corts,Les Corts,False,2,BCN27268,False,1252000.0,Les Corts,False,"Row(subTypology=None, typology='flat')",31,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bd/ed/15/844798426.jpg,130.0,https://www.idealista.com/inmueble/92647696/,,False,41.38907,flat,,good,"Row(subtitle='Les Corts, Barcelona', title='Piso')",False,Barcelona,False,,
29,Barcelona,False,8281.0,,92647691,True,sale,es,772,True,2.1294946,3,False,barrio Les Corts,Les Corts,False,2,BCN27267,False,1076500.0,Les Corts,False,"Row(subTypology=None, typology='flat')",29,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c8/fb/2b/844798254.jpg,130.0,https://www.idealista.com/inmueble/92647691/,,False,41.38927,flat,,good,"Row(subtitle='Les Corts, Barcelona', title='Piso')",False,Barcelona,False,,
30,Barcelona,False,6667.0,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True)",89237439,True,sale,es,848,True,2.1366062,5,False,barrio Sant Gervasi - Galvany,Sarrià-Sant Gervasi,False,5,BCN23066,False,2200000.0,Sant Gervasi - Galvany,False,"Row(subTypology=None, typology='flat')",35,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5a/a9/3b/766728448.jpg,330.0,https://www.idealista.com/inmueble/89237439/,,False,41.3964254,flat,,good,"Row(subtitle='Sant Gervasi - Galvany, Barcelona', title='Piso')",False,Barcelona,False,,
